,final_legend,hersteller,modell,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,total_score,Preis (€),volumen
51,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,L1,"0,326","0,089","0,041","0,044","0,044","0,062","0,039","82,843","401,91",1520
52,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,L2,"0,113","-0,114","-0,167","-0,17","-0,175","-0,198","-0,582","71,037","401,91",1520
53,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Celsa,ALO 12070 K,Parallel,4000,Kompensiert,L3,"0,214","0,026","-0,041","-0,064","-0,063","-0,054","-0,031","43,583","401,91",1520
54,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,4000,Standard,L1,"0,218","-0,034","-0,117","-0,142","-0,196","-0,698","-3,206","70,705","71,51",1520
55,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,4000,Standard,L2,"0,139","-0,068","-0,123","-0,945","-2,027","-3,283","-5,861","120,116","71,51",1520
56,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Celsa,ALO 12070,Parallel,4000,Standard,L3,"0,107","-0,122","-0,163","-0,201","-0,361","-1,218","-3,835","96,51","71,51",1520
57,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Celsa,ALO 12070,Dreieck,4000,Standard,L1,"0,248","-0,044","-0,117","-0,143","-0,159","-0,227","-1,489","67,313","71,51",1520
58,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Celsa,ALO 12070,Dreieck,4000,Standard,L2,"0,146","-0,094","-0,132","-0,149","-0,143","-0,151","0,291","65,156","71,51",1520
59,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Celsa,ALO 12070,Dreieck,4000,Standard,L3,"0,075","-0,109","-0,174","-0,19","-0,208","-0,302","-1,713","70,371","71,51",1520
60,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,L1,"0,424","0,117","0,05","0,041","0,039","0,057","0,076","107,708","401,91",1520
61,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,L2,"0,111","-0,068","-0,155","-0,185","-0,189","-0,203","-0,651","54,03","401,91",1520
62,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Celsa,ALO 12070 K,Dreieck,4000,Kompensiert,L3,"0,273","0,039","-0,033","-0,07","-0,065","-0,067","-0,061","57,001","401,91",1520
