,final_legend,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,total_score,Preis (€),volumen
44,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8  | Parallel,Parallel,3000,Kompensiert,L3,"0,345","0,110","0,001","-0,031","-0,018","0,012","0,082","91,448","346,060","1520,000"
45,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Parallel,3000,Standard,L1,"0,265","-0,195","-0,225","-0,301","-0,349","-0,418","-1,017","130,698","71,510","1520,000"
46,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Parallel,3000,Standard,L2,"0,285","-0,089","-0,158","-1,081","-1,890","-2,924","-5,426","146,408","71,510","1520,000"
47,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Parallel,3000,Standard,L3,"0,253","-0,030","-0,098","-0,138","-0,149","-0,170","-0,910","58,850","71,510","1520,000"
48,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Parallel,2500,Kompensiert,L1,"0,081","-0,164","-0,232","-0,273","-0,306","-0,291","-0,326","88,237","104,200","1027,000"
49,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Parallel,2500,Kompensiert,L2,"0,247","-0,104","-0,192","-0,238","-0,301","-0,372","-1,012","92,169","104,200","1027,000"
50,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Parallel,2500,Kompensiert,L3,"0,234","-0,053","-0,135","-0,173","-0,199","-0,197","-0,264","63,838","104,200","1027,000"
51,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Parallel,2500,Standard,L1,"-0,061","-0,214","-0,653","-7,423","-10,056","-12,370","-16,238","399,259","45,500","634291,000"
52,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Parallel,2500,Standard,L2,"0,060","-0,117","-2,732","-11,571","-14,277","-16,623","-20,565","551,713","45,500","634291,000"
53,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Parallel,2500,Standard,L3,"0,180","0,031","-0,119","-5,352","-7,856","-10,099","-13,862","271,428","45,500","634291,000"
54,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,Parallel,3000,Standard,L1,"0,084","-0,132","-0,218","-0,276","-0,318","-0,395","-1,857","84,510","71,510","1520,000"
55,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,Parallel,3000,Standard,L2,"0,169","-0,039","-0,131","-0,598","-1,415","-2,537","-5,113","98,621","71,510","1520,000"
56,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0  | Parallel,Parallel,3000,Standard,L3,"0,300","0,045","-0,046","-0,086","-0,099","-0,121","-0,428","66,079","71,510","1520,000"
57,Redur 2025 12 11 1500-Redur-20A1456.5vffp-5000A-8R1  | Dreieck,Dreieck,5000,FFP,L1,"-0,080","-0,181","-0,241","-0,471","-1,132","-1,996","-3,801","129,468","296,640","1600,000"
58,Redur 2025 12 11 1500-Redur-20A1456.5vffp-5000A-8R1  | Dreieck,Dreieck,5000,FFP,L2,"-0,081","-0,162","-0,214","-0,341","-0,663","-1,082","-1,910","102,616","296,640","1600,000"
59,Redur 2025 12 11 1500-Redur-20A1456.5vffp-5000A-8R1  | Dreieck,Dreieck,5000,FFP,L3,"-0,014","-0,128","-0,149","-0,116","-0,139","-0,228","-0,444","59,995","296,640","1600,000"
60,MBS 2025 12 12 0820-MBS-ASK129.10-5000A-10R8  | Dreieck,Dreieck,5000,Standard,L1,"0,329","0,112","-0,067","-0,396","-0,619","-1,336","-3,375","123,581","289,800","6175,000"
61,MBS 2025 12 12 0820-MBS-ASK129.10-5000A-10R8  | Dreieck,Dreieck,5000,Standard,L2,"0,291","0,121","0,013","-0,264","-0,525","-0,819","-1,378","104,520","289,800","6175,000"
62,MBS 2025 12 12 0820-MBS-ASK129.10-5000A-10R8  | Dreieck,Dreieck,5000,Standard,L3,"0,380","0,203","0,129","0,096","0,085","0,038","-0,666","139,408","289,800","6175,000"
63,Celsa 2025 12 12 1206-Celsa-ALO 20060-5000A-0R0  | Dreieck,Dreieck,5000,Standard,L1,"0,083","-0,214","-0,261","-0,313","-0,304","-0,306","-0,341","108,428","124,760","1989,000"
